Imagen,Checkpoint_ID,Lat_Real,Lon_Real,Pred_Lat,Pred_Lon,Error_Metros,Status
Imagen_5.jpg,2,-7.233056,-78.446111,-7.2330955615255546,-78.44519460677687,101.18,Hit
Imagen_5.jpg,3,-7.234444,-78.430556,-7.234700340471566,-78.43069890408361,32.57,Hit
Imagen_5.jpg,4,-7.231667,-78.442222,-7.230890132278042,-78.44047533839215,211.15,Hit
Imagen_5.jpg,5,-7.235,-78.442222,-7.234704855791273,-78.44214106547975,34.01,Hit
Imagen_5.jpg,6,-7.210833,-78.407222,-7.211252778374559,-78.40733194951169,48.23,Hit
Imagen_5.jpg,7,-7.234722,-78.44,-7.233441809013267,-78.43819738443791,244.55,Hit
Imagen_5.jpg,8,-7.241944,-78.448333,-7.2417849428811145,-78.44765385932875,76.97,Hit
Imagen_5.jpg,9,-7.238611,-78.434722,-7.238200145504614,-78.4339019031069,101.35,Hit
Imagen_5.jpg,10,-7.244167,-78.428611,-7.244360830141657,-78.42851061414052,24.23,Hit
Imagen_6.jpg,1,-7.154167,-78.525556,-7.154407367585905,-78.52523842483409,44.07,Hit
Imagen_6.jpg,2,-7.159444,-78.522778,-7.159382211885571,-78.52262194892283,18.54,Hit
Imagen_6.jpg,3,-7.150278,-78.528889,-7.150673973118753,-78.52868276433314,49.56,Hit
Imagen_6.jpg,4,-7.149722,-78.532222,-7.149260769699856,-78.53263274378007,68.44,Hit
Imagen_6.jpg,5,-7.130278,-78.506389,-7.130101792632707,-78.50617462770074,30.71,Hit
Imagen_6.jpg,6,-7.133611,-78.5275,-7.133406855564293,-78.52755708286102,23.56,Hit
Imagen_6.jpg,7,-7.136389,-78.526667,-7.13701022696937,-78.52651825298118,71.0,Hit
Imagen_6.jpg,8,-7.145556,-78.535833,-7.145908000346041,-78.53618720759141,55.31,Hit
Imagen_6.jpg,9,-7.136389,-78.528056,-7.13756579142949,-78.52800210635539,130.99,Hit
Imagen_6.jpg,10,-7.152222,-78.529722,-7.152354938639277,-78.52985158510477,20.56,Hit
Imagen_7.jpg,1,-7.204167,-78.479444,-7.203877304409961,-78.4794168338657,32.35,Hit
Imagen_7.jpg,2,-7.202222,-78.476389,-7.201899699871415,-78.47598721669485,57.0,Hit
Imagen_7.jpg,3,-7.201389,-78.4725,-7.201310842101546,-78.47274227008592,28.1,Hit
Imagen_7.jpg,4,-7.202222,-78.483889,-7.201912572855864,-78.48389786681739,34.42,Hit
Imagen_7.jpg,5,-7.198611,-78.479167,-7.198379955747119,-78.47909631525965,26.85,Hit
Imagen_7.jpg,6,-7.195556,-78.465,-7.195557616247014,-78.46522172091431,24.46,Hit
Imagen_7.jpg,7,-7.14,-78.448889,-7.138953272570977,-78.44926748991236,123.66,Hit
